chrom	start	end	strand	name	product	KO	description																
contig_1	4371579	4372256	fwd	R401_flye_gene_3754	cpxR	K07662	two-component system%2C OmpR family%2C response regulator CpxR																
contig_1	2775625	2776965	fwd	R401_flye_gene_2422	ectB	K00836	diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76]																
contig_1	4371161	4371571	fwd	R401_flye_gene_3753	hypothetical protein	NA	NA																
contig_1	2773900	2775378	rev	R401_flye_gene_2421	nodT	K18904	outer membrane protein%2C multidrug efflux system																
contig_1	4370754	4371053	fwd	R401_flye_gene_3752	K09780	K09780	uncharacterized protein																
contig_1	2772800	2773903	rev	R401_flye_gene_2420	ABC.CD.TX	K02005	HlyD family secretion protein																
contig_1	4370045	4370752	fwd	R401_flye_gene_3751	ispZ	K06190	intracellular septation protein																
contig_1	4369205	4370005	rev	R401_flye_gene_3750	E3.1.3.97	K07053	3%2C5-nucleoside bisphosphate phosphatase [EC:3.1.3.97]																
contig_1	2769729	2772803	rev	R401_flye_gene_2419	TC.HAE1	K03296	hydrophobic/amphiphilic exporter-1 (mainly G- bacteria)%2C HAE1 family																
contig_1	2768793	2769659	fwd	R401_flye_gene_2418	toxJ	K20330	LuxR family transcriptional regulator%2C activator of tox operons																
contig_1	4368562	4369230	rev	R401_flye_gene_3749	tsaC	K07566	L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]																
contig_1	2767990	2768763	fwd	R401_flye_gene_2417	expI	K22956	acyl homoserine lactone synthase [EC:2.3.1.184]																
contig_1	4367731	4368561	rev	R401_flye_gene_3748	scpA	K05896	segregation and condensation protein A																
contig_1	2766774	2767373	rev	R401_flye_gene_2416	hypothetical protein	NA	NA																
contig_1	4366760	4367719	rev	R401_flye_gene_3747	scpB	K06024	segregation and condensation protein B																
contig_1	2765952	2766680	fwd	R401_flye_gene_2415	expR	K19734	LuxR family transcriptional regulator%2C quorum-sensing system regulator ExpR																
contig_1	4365260	4366495	rev	R401_flye_gene_3746	rluB	K06178	23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]																
contig_1	2762907	2765564	fwd	R401_flye_gene_2414	uvrA	K03701	excinuclease ABC subunit A																
contig_1	4364021	4364986	fwd	R401_flye_gene_3745	hypothetical protein	NA	NA																
contig_1	2760061	2762229	rev	R401_flye_gene_2413	nosR	K19339	NosR/NirI family transcriptional regulator%2C nitrous oxide reductase regulator																
contig_1	4363786	4363923	fwd	R401_flye_gene_3744	hypothetical protein	NA	NA																
contig_1	2758088	2760007	rev	R401_flye_gene_2412	nosZ	K00376	nitrous-oxide reductase [EC:1.7.2.4]																
contig_1	4361707	4363128	rev	R401_flye_gene_3743	aroP	K11734	aromatic amino acid transport protein AroP																
contig_1	2756749	2758062	rev	R401_flye_gene_2411	nosD	K07218	nitrous oxidase accessory protein																
contig_1	4360973	4361386	rev	R401_flye_gene_3742	yaeJ	K15034	ribosome-associated protein																
contig_1	2755835	2756752	rev	R401_flye_gene_2410	nosF	K19340	Cu-processing system ATP-binding protein																
contig_1	4359777	4360976	fwd	R401_flye_gene_3741	hypothetical protein	NA	NA																
contig_1	4359444	4359674	fwd	R401_flye_gene_3740	hypothetical protein	NA	NA																
contig_1	2755008	2755838	rev	R401_flye_gene_2409	nosY	K19341	Cu-processing system permease protein																
contig_1	2754450	2754977	rev	R401_flye_gene_2408	nosL	K19342	copper chaperone NosL																
contig_1	4359263	4359406	fwd	R401_flye_gene_3739	hypothetical protein	NA	NA																
contig_1	2752939	2754102	rev	R401_flye_gene_2407	K20975	K20975	two-component system%2C sensor histidine kinase [EC:2.7.13.3]																
contig_1	4358098	4359120	fwd	R401_flye_gene_3738	zntB	K16074	zinc transporter																
contig_1	2750367	2752970	rev	R401_flye_gene_2406	K20975	K20975	two-component system%2C sensor histidine kinase [EC:2.7.13.3]																
contig_1	4356213	4357838	rev	R401_flye_gene_3737	mcp	K03406	methyl-accepting chemotaxis protein																
contig_1	2749573	2750238	fwd	R401_flye_gene_2405	narL	K07684	two-component system%2C NarL family%2C nitrate/nitrite response regulator NarL																
contig_1	4355827	4356132	fwd	R401_flye_gene_3736	hypothetical protein	NA	NA																
contig_1	2748980	2749513	fwd	R401_flye_gene_2404	hypothetical protein	NA	NA																
contig_1	4354578	4355705	fwd	R401_flye_gene_3735	E3.1.4.46	K01126	glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]																
contig_1	2747932	2748726	fwd	R401_flye_gene_2403	ABC-2.P	K01992	ABC-2 type transport system permease protein																
contig_1	4354006	4354344	rev	R401_flye_gene_3734	hypothetical protein	NA	NA																
contig_1	2747204	2747935	fwd	R401_flye_gene_2402	ABC-2.A	K01990	ABC-2 type transport system ATP-binding protein																
contig_1	4352598	4353113	fwd	R401_flye_gene_3733	hypothetical protein	NA	NA																
contig_1	2746203	2747207	fwd	R401_flye_gene_2401	prkC	K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]																
contig_1	4352066	4352380	fwd	R401_flye_gene_3732	GST	K00799	glutathione S-transferase [EC:2.5.1.18]																
contig_1	2745009	2746175	fwd	R401_flye_gene_2400	livK	K01999	branched-chain amino acid transport system substrate-binding protein																
contig_1	4351359	4352069	fwd	R401_flye_gene_3731	pyrG	K01937	CTP synthase [EC:6.3.4.2]																
contig_1	4350397	4351344	rev	R401_flye_gene_3730	aphB	K10918	LysR family transcriptional regulator%2C transcriptional activator AphB																
contig_1	4349770	4350303	rev	R401_flye_gene_3729	hypothetical protein	NA	NA																
contig_1	4349138	4349746	fwd	R401_flye_gene_3728	aefR	K19736	TetR/AcrR family transcriptional regulator%2C regulator of autoinduction and epiphytic fitness																
contig_1	4347889	4348947	rev	R401_flye_gene_3727	NAPEPLD	K13985	N-acyl-phosphatidylethanolamine-hydrolysing phospholipase D [EC:3.1.4.54]																
contig_1	4347554	4347871	fwd	R401_flye_gene_3726	hypothetical protein	NA	NA																
contig_1	4346696	4347472	fwd	R401_flye_gene_3725	araC	K02099	AraC family transcriptional regulator%2C arabinose operon regulatory protein																
contig_1	1289816	1290256	rev	R401_flye_gene_1141	uspA	K06149	universal stress protein A																
contig_1	2945092	2945994	fwd	R401_flye_gene_2473	bpeT	K18900	LysR family transcriptional regulator%2C regulator for bpeEF and oprC																
contig_1	1290359	1290796	fwd	R401_flye_gene_1142	hypothetical protein	NA	NA																
contig_1	2943991	2944998	rev	R401_flye_gene_2472	ydjG	K18471	methylglyoxal reductase [EC:1.1.1.-]																
contig_1	6351007	6351753	fwd	R401_flye_gene_5500	ido	K20418	L-isoleucine 4-hydroxylase [EC:1.14.11.45]																
contig_1	2943084	2943878	rev	R401_flye_gene_2471	agaR	K02081	DeoR family transcriptional regulator%2C aga operon transcriptional repressor																
contig_1	6351767	6352204	fwd	R401_flye_gene_5501	argO	K22477	N-acetylglutamate synthase [EC:2.3.1.1]																
contig_1	1287759	1289678	fwd	R401_flye_gene_1140	uup	K15738	ABC transport system ATP-binding/permease protein																
contig_1	2942026	2942952	rev	R401_flye_gene_2470	gal	K00035	D-galactose 1-dehydrogenase [EC:1.1.1.48]																
contig_1	6352201	6352914	fwd	R401_flye_gene_5502	hypothetical protein	NA	NA																
contig_1	6352893	6353210	fwd	R401_flye_gene_5503	hypothetical protein	NA	NA																
contig_1	6353127	6354053	rev	R401_flye_gene_5504	oxyR	K04761	LysR family transcriptional regulator%2C hydrogen peroxide-inducible genes activator																
contig_1	6354864	6355274	fwd	R401_flye_gene_5505	hypothetical protein	NA	NA																
contig_1	6355274	6355951	fwd	R401_flye_gene_5506	hypothetical protein	NA	NA																
contig_1	1298973	1299446	rev	R401_flye_gene_1149	sulA	K13053	cell division inhibitor SulA																
contig_1	1298037	1298561	fwd	R401_flye_gene_1147	hypothetical protein	NA	NA																
contig_1	2950057	2951373	fwd	R401_flye_gene_2479	xylA	K01805	xylose isomerase [EC:5.3.1.5]																
contig_1	1298668	1298901	fwd	R401_flye_gene_1148	hypothetical protein	NA	NA																
contig_1	2948718	2949902	rev	R401_flye_gene_2478	lacI	K02529	LacI family transcriptional regulator																
contig_1	1294856	1295092	fwd	R401_flye_gene_1145	K09705	K09705	uncharacterized protein																
contig_1	2947927	2948496	fwd	R401_flye_gene_2477	hypothetical protein	NA	NA																
contig_1	1295208	1297820	fwd	R401_flye_gene_1146	topA	K03168	DNA topoisomerase I [EC:5.99.1.2]																
contig_1	2946961	2947899	rev	R401_flye_gene_2476	hypothetical protein	NA	NA																
contig_1	1291393	1293540	fwd	R401_flye_gene_1143	fadB	K01825	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]																
contig_1	2946593	2946829	fwd	R401_flye_gene_2475	hypothetical protein	NA	NA																
contig_1	1293571	1294746	fwd	R401_flye_gene_1144	fadA	K00632	acetyl-CoA acyltransferase [EC:2.3.1.16]																
contig_1	2946100	2946441	rev	R401_flye_gene_2474	hypothetical protein	NA	NA																
contig_1	1272973	1274538	rev	R401_flye_gene_1130	aer	K03776	aerotaxis receptor																
contig_1	2934845	2935945	rev	R401_flye_gene_2462	sfnG	K17228	dimethylsulfone monooxygenase [EC:1.14.14.35]																
contig_1	4411544	4411831	rev	R401_flye_gene_3793	hypothetical protein	NA	NA																
contig_1	1274626	1275414	rev	R401_flye_gene_1131	K07052	K07052	uncharacterized protein																
contig_1	2934454	2934855	rev	R401_flye_gene_2461	livF	K01996	branched-chain amino acid transport system ATP-binding protein																
contig_1	4409304	4411412	rev	R401_flye_gene_3792	FDH	K00122	formate dehydrogenase [EC:1.17.1.9]																
contig_1	2933194	2934306	fwd	R401_flye_gene_2460	sfa3	K11917	sigma-54 dependent transcriptional regulator																
contig_1	4408873	4409214	rev	R401_flye_gene_3791	grxD	K07390	monothiol glutaredoxin																
contig_1	4408061	4408705	fwd	R401_flye_gene_3790	bfr	K03594	bacterioferritin [EC:1.16.3.1]																
contig_1	1283661	1285433	fwd	R401_flye_gene_1138	ABCB-BAC	K06147	ATP-binding cassette%2C subfamily B%2C bacterial																
contig_1	1285617	1287545	rev	R401_flye_gene_1139	slt	K08309	soluble lytic murein transglycosylase [EC:4.2.2.-]																
contig_1	2941315	2942010	rev	R401_flye_gene_2469	trmK	K06967	tRNA (adenine22-N1)-methyltransferase [EC:2.1.1.217]																
contig_1	1281849	1282991	fwd	R401_flye_gene_1136	pdxB	K03473	erythronate-4-phosphate dehydrogenase [EC:1.1.1.290]																
contig_1	2940800	2941177	fwd	R401_flye_gene_2468	hypothetical protein	NA	NA																
contig_1	4417081	4418586	fwd	R401_flye_gene_3799	glpK	K00864	glycerol kinase [EC:2.7.1.30]																
contig_1	1283223	1283402	rev	R401_flye_gene_1137	hypothetical protein	NA	NA																
contig_1	2940059	2940685	rev	R401_flye_gene_2467	hypothetical protein	NA	NA																
contig_1	4416153	4417004	fwd	R401_flye_gene_3798	GLPF	K02440	glycerol uptake facilitator protein																
contig_1	1279903	1280154	fwd	R401_flye_gene_1134	tusA	K04085	tRNA 2-thiouridine synthesizing protein A [EC:2.8.1.-]																
contig_1	2939308	2940033	fwd	R401_flye_gene_2466	K07052	K07052	uncharacterized protein																
contig_1	4415360	4415830	rev	R401_flye_gene_3797	ybaK	K03976	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase [EC:3.1.1.-]																
contig_1	1280151	1281554	rev	R401_flye_gene_1135	TC.MATE	K03327	multidrug resistance protein%2C MATE family																
contig_1	2938447	2939217	fwd	R401_flye_gene_2465	ubiE	K03183	demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1%2C4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]																
contig_1	4414411	4415193	rev	R401_flye_gene_3796	phzF	K06998	trans-2%2C3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17]																
contig_1	1275742	1278483	rev	R401_flye_gene_1132	ACO	K01681	aconitate hydratase [EC:4.2.1.3]																
contig_1	2937571	2938308	rev	R401_flye_gene_2464	hypothetical protein	NA	NA																
contig_1	4413152	4414255	fwd	R401_flye_gene_3795	afuC	K02010	iron(III) transport system ATP-binding protein [EC:3.6.3.30]																
contig_1	1278656	1279765	fwd	R401_flye_gene_1133	rlmM	K06968	23S rRNA (cytidine2498-2-O)-methyltransferase [EC:2.1.1.186]																
contig_1	2936417	2937661	fwd	R401_flye_gene_2463	dszC	K22219	dibenzothiophene monooxygenase [EC:1.14.14.21]																
contig_1	4412235	4413155	fwd	R401_flye_gene_3794	OTC	K00611	ornithine carbamoyltransferase [EC:2.1.3.3]																
contig_1	1272185	1272655	rev	R401_flye_gene_1129	hypothetical protein	NA	NA																
contig_1	2919938	2921332	rev	R401_flye_gene_2451	NIT1	K11206	deaminated glutathione amidase [EC:3.5.1.128]																
contig_1	4400792	4401418	rev	R401_flye_gene_3782	evgA	K07690	two-component system%2C NarL family%2C response regulator EvgA																
contig_1	1264653	1264826	rev	R401_flye_gene_1120	ccoQ	K00407	cytochrome c oxidase cbb3-type subunit IV																
contig_1	2914270	2919882	fwd	R401_flye_gene_2450	prtC	K01406	serralysin [EC:3.4.24.40]																
contig_1	4400554	4400736	fwd	R401_flye_gene_3781	hypothetical protein	NA	NA																
contig_1	4399808	4400446	fwd	R401_flye_gene_3780	NTH	K10773	endonuclease III [EC:4.2.99.18]																
contig_1	1270698	1271390	fwd	R401_flye_gene_1127	K07020	K07020	uncharacterized protein																
contig_1	2931626	2932888	rev	R401_flye_gene_2459	nylB	K01453	6-aminohexanoate-oligomer exohydrolase [EC:3.5.1.46]																
contig_1	1271483	1271941	rev	R401_flye_gene_1128	hypothetical protein	NA	NA																
contig_1	2930172	2931509	rev	R401_flye_gene_2458	hypothetical protein	NA	NA																
contig_1	4407805	4408023	fwd	R401_flye_gene_3789	bfd	K02192	bacterioferritin-associated ferredoxin																
contig_1	1268558	1269166	rev	R401_flye_gene_1125	ccoO	K00405	cytochrome c oxidase cbb3-type subunit II																
contig_1	2929029	2930132	rev	R401_flye_gene_2457	potF	K11073	putrescine transport system substrate-binding protein																
contig_1	4406889	4407491	rev	R401_flye_gene_3788	PRDX2_4	K03386	peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]																
contig_1	1269177	1270601	rev	R401_flye_gene_1126	ccoN	K00404	cytochrome c oxidase cbb3-type subunit I [EC:1.9.3.1]																
contig_1	2928366	2928977	fwd	R401_flye_gene_2456	ysiA	K13770	TetR/AcrR family transcriptional regulator%2C fatty acid metabolism regulator protein																
contig_1	4406021	4406698	fwd	R401_flye_gene_3787	rnt	K03683	ribonuclease T [EC:3.1.13.-]																
contig_1	1267398	1268354	rev	R401_flye_gene_1123	ccoP	K00406	cytochrome c oxidase cbb3-type subunit III																
contig_1	2926447	2927847	rev	R401_flye_gene_2455	TC.AAT	K03293	amino acid transporter%2C AAT family																
contig_1	4404978	4406024	fwd	R401_flye_gene_3786	URA4	K01465	dihydroorotase [EC:3.5.2.3]																
contig_1	1268351	1268554	rev	R401_flye_gene_1124	ccoQ	K00407	cytochrome c oxidase cbb3-type subunit IV																
contig_1	2924417	2926138	rev	R401_flye_gene_2454	hasD	K12536	ATP-binding cassette%2C subfamily C%2C bacterial exporter for protease/lipase																
contig_1	4403809	4404786	rev	R401_flye_gene_3785	motY	K21218	sodium-type flagellar protein MotY																
contig_1	1264845	1265453	rev	R401_flye_gene_1121	ccoO	K00405	cytochrome c oxidase cbb3-type subunit II																
contig_1	2923054	2924424	rev	R401_flye_gene_2453	hasE	K12537	membrane fusion protein%2C protease secretion system																
contig_1	4402463	4403680	rev	R401_flye_gene_3784	argG	K01940	argininosuccinate synthase [EC:6.3.4.5]																
contig_1	1265453	1266895	rev	R401_flye_gene_1122	ccoN	K00404	cytochrome c oxidase cbb3-type subunit I [EC:1.9.3.1]																
contig_1	2921702	2923051	rev	R401_flye_gene_2452	hasF	K12538	outer membrane protein%2C protease secretion system																
contig_1	4401889	4402371	fwd	R401_flye_gene_3783	hypothetical protein	NA	NA																
contig_1	1261486	1262901	rev	R401_flye_gene_1118	napH	K02574	ferredoxin-type protein NapH																
contig_1	1263673	1264656	rev	R401_flye_gene_1119	ccoP	K00406	cytochrome c oxidase cbb3-type subunit III																
contig_1	2913424	2913867	rev	R401_flye_gene_2449	K09943	K09943	uncharacterized protein																
contig_1	2883334	2896929	fwd	R401_flye_gene_2440	syrE	K16125	syringomycin synthetase protein SyrE																
contig_1	4390693	4391424	rev	R401_flye_gene_3771	hugZ	K07226	heme iron utilization protein																
contig_1	4390150	4390626	rev	R401_flye_gene_3770	fxsA	K07113	UPF0716 protein FxsA																
contig_1	1258319	1260769	rev	R401_flye_gene_1116	K01533	NA	NA																
contig_1	2911955	2913328	rev	R401_flye_gene_2448	hemN	K02495	oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]																
contig_1	4399278	4399811	fwd	R401_flye_gene_3779	rnfE	K03613	Na -translocating ferredoxin:NAD  oxidoreductase subunit E																
contig_1	1260935	1261474	rev	R401_flye_gene_1117	K09926	K09926	uncharacterized protein																
contig_1	2910570	2911958	rev	R401_flye_gene_2447	hemN	K02495	oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]																
contig_1	4398674	4399285	fwd	R401_flye_gene_3778	rnfG	K03612	Na -translocating ferredoxin:NAD  oxidoreductase subunit G																
contig_1	1257400	1258083	rev	R401_flye_gene_1114	K09792	K09792	uncharacterized protein																
contig_1	2910045	2910251	fwd	R401_flye_gene_2446	hypothetical protein	NA	NA																
contig_1	4397691	4398677	fwd	R401_flye_gene_3777	rnfD	K03614	Na -translocating ferredoxin:NAD  oxidoreductase subunit D [EC:7.2.1.2]																
contig_1	1258076	1258294	rev	R401_flye_gene_1115	hypothetical protein	NA	NA																
contig_1	2908614	2910038	fwd	R401_flye_gene_2445	oprM	K18139	outer membrane protein%2C multidrug efflux system															2C cmeC	2C gesC
contig_1	4396685	4397704	fwd	R401_flye_gene_3776	rnfB	K03616	Na -translocating ferredoxin:NAD  oxidoreductase subunit B [EC:7.2.1.2]																
contig_1	1254887	1255621	rev	R401_flye_gene_1112	fnr	K01420	CRP/FNR family transcriptional regulator%2C anaerobic regulatory protein																
contig_1	2907706	2908530	fwd	R401_flye_gene_2444	toxJ	K20330	LuxR family transcriptional regulator%2C activator of tox operons																
contig_1	4396116	4396688	fwd	R401_flye_gene_3775	rnfA	K03617	Na -translocating ferredoxin:NAD  oxidoreductase subunit A																
contig_1	1255716	1257098	rev	R401_flye_gene_1113	hemN	K02495	oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]																
contig_1	2905945	2907105	fwd	R401_flye_gene_2443	auaG	K21272	aurachin C monooxygenase/isomerase [EC:1.14.13.222]																
contig_1	4393940	4395985	fwd	R401_flye_gene_3774	MARS	K01874	methionyl-tRNA synthetase [EC:6.1.1.10]																
contig_1	1253617	1254219	fwd	R401_flye_gene_1110	recR	K06187	recombination protein RecR																
contig_1	2898569	2905858	fwd	R401_flye_gene_2442	syrE	K16125	syringomycin synthetase protein SyrE																
contig_1	4392537	4393631	rev	R401_flye_gene_3773	mrp	K03593	ATP-binding protein involved in chromosome partitioning																
contig_1	1254262	1254810	rev	R401_flye_gene_1111	APRT	K00759	adenine phosphoribosyltransferase [EC:2.4.2.7]																
contig_1	2897202	2898464	fwd	R401_flye_gene_2441	rhlB	K18101	rhamnosyltransferase subunit B [EC:2.4.1.-]																
contig_1	4391508	4392347	fwd	R401_flye_gene_3772	fabG	K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]																
contig_1	1252516	1253550	fwd	R401_flye_gene_1109	K07119	K07119	uncharacterized protein																
contig_1	1249754	1251829	fwd	R401_flye_gene_1107	dnaX	K02343	DNA polymerase III subunit gamma/tau [EC:2.7.7.7]																
contig_1	2867229	2883341	fwd	R401_flye_gene_2439	syrE	K16125	syringomycin synthetase protein SyrE																
contig_1	1251894	1252232	fwd	R401_flye_gene_1108	K09747	K09747	uncharacterized protein																
contig_1	2865863	2866867	rev	R401_flye_gene_2438	KDM8	K10277	lysine-specific demethylase 8 [EC:1.14.11.27]																
contig_1	4389612	4389905	rev	R401_flye_gene_3769	groES	K04078	chaperonin GroES																
contig_1	2267441	2268727	fwd	R401_flye_gene_1985	fabF	K09458	3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]																
contig_1	2268738	2269976	fwd	R401_flye_gene_1986	hypothetical protein	NA	NA																
contig_1	2263202	2264311	fwd	R401_flye_gene_1983	mexJ	K18302	membrane fusion protein%2C multidrug efflux system																
contig_1	2264308	2267388	fwd	R401_flye_gene_1984	mexK	K18303	multidrug efflux pump																
contig_1	2260683	2261468	rev	R401_flye_gene_1981	K07124	K07124	uncharacterized protein																
contig_1	2261532	2262992	rev	R401_flye_gene_1982	oprN	K18300	outer membrane protein%2C multidrug efflux system																
contig_1	2259896	2260516	fwd	R401_flye_gene_1980	ameR	K18905	TetR/AcrR family transcriptional regulator%2C repressor of the ameABC operon																
contig_1	2258389	2259267	rev	R401_flye_gene_1978	oxyR	K04761	LysR family transcriptional regulator%2C hydrogen peroxide-inducible genes activator																
contig_1	2259369	2259794	fwd	R401_flye_gene_1979	K06991	K06991	uncharacterized protein																
contig_1	2255997	2257121	fwd	R401_flye_gene_1976	hypothetical protein	NA	NA																
contig_1	2257381	2258163	rev	R401_flye_gene_1977	ABC.PA.S	K02030	polar amino acid transport system substrate-binding protein																
contig_1	2251303	2254482	rev	R401_flye_gene_1974	mexF	K18299	multidrug efflux pump																
contig_1	2254498	2255751	rev	R401_flye_gene_1975	mexE	K18298	membrane fusion protein%2C multidrug efflux system																
contig_1	2248500	2249558	rev	R401_flye_gene_1972	prkC	K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]																
contig_1	2249885	2251306	rev	R401_flye_gene_1973	oprN	K18300	outer membrane protein%2C multidrug efflux system																
contig_1	2245081	2246754	rev	R401_flye_gene_1970	cheBR	K13924	two-component system%2C chemotaxis family%2C CheB/CheR fusion protein [EC:2.1.1.80 3.1.1.61]																
contig_1	2246751	2248253	rev	R401_flye_gene_1971	kaiC	K08482	circadian clock protein KaiC																
contig_1	2244540	2244917	fwd	R401_flye_gene_1969	cheBR	K13924	two-component system%2C chemotaxis family%2C CheB/CheR fusion protein [EC:2.1.1.80 3.1.1.61]																
contig_1	2242674	2243261	fwd	R401_flye_gene_1967	cheB	K03412	two-component system%2C chemotaxis family%2C protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]																
contig_1	2243267	2244547	fwd	R401_flye_gene_1968	K11527	K11527	two-component system%2C sensor histidine kinase and response regulator [EC:2.7.13.3]																
contig_1	2238380	2241862	fwd	R401_flye_gene_1965	TBCA	K17292	tubulin-specific chaperone A																
contig_1	2241862	2242677	fwd	R401_flye_gene_1966	cheR	K00575	chemotaxis protein methyltransferase CheR [EC:2.1.1.80]																
contig_1	2236134	2237624	fwd	R401_flye_gene_1963	hypothetical protein	NA	NA																
contig_1	2237723	2238094	rev	R401_flye_gene_1964	cckA	K13587	two-component system%2C cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]																
contig_1	2233612	2234517	rev	R401_flye_gene_1961	yesN	K07720	two-component system%2C response regulator YesN																
contig_1	2234588	2235880	rev	R401_flye_gene_1962	rfbC	K20444	O-antigen biosynthesis protein [EC:2.4.1.-]																
contig_1	2232003	2233313	rev	R401_flye_gene_1960	smoE	K10227	sorbitol/mannitol transport system substrate-binding protein																
contig_1	2230072	2230902	rev	R401_flye_gene_1958	smoG	K10229	sorbitol/mannitol transport system permease protein																
